ID	AFR	EUR	AMR
RP-1847_10016544	1	1	0
RP-1847_10016554	1	1	0
RP-1847_10018120	1	1	0
RP-1847_10018141	2	0	0
RP-1847_10018165	2	0	0
RP-1847_10018173	2	0	0
RP-1847_10018235	1	1	0
RP-1847_10018261	2	0	0
RP-1847_10018272	0	2	0
RP-1847_10018274	0	2	0
RP-1847_10018279	0	2	0
RP-1847_10018307	2	0	0
RP-1847_10018332	2	0	0
RP-1847_10018341	2	0	0
RP-1847_10018346	0	2	0
RP-1847_10018362	2	0	0
RP-1847_10018385	2	0	0
RP-1847_10018398	1	1	0
RP-1847_10018400	0	2	0
RP-1847_10018408	2	0	0
RP-1847_10018429	1	1	0
RP-1847_10018436	2	0	0
RP-1847_10018450	0	2	0
RP-1847_10018499	2	0	0
RP-1847_10018523	2	0	0
RP-1847_10018539	2	0	0
RP-1847_10018587	0	2	0
RP-1847_10018599	2	0	0
RP-1847_10018614	0	1	1
RP-1847_10018858	2	0	0
RP-1847_10018874	1	1	0
RP-1847_10018979	0	2	0
RP-1847_10019037	2	0	0
RP-1847_10019041	0	2	0
RP-1847_10019044	2	0	0
RP-1847_10019068	0	2	0
RP-1847_10019107	2	0	0
RP-1847_10019185	0	2	0
RP-1847_10019200	0	2	0
RP-1847_10019225	0	2	0
RP-1847_10019289	0	2	0
RP-1847_10019293	2	0	0
RP-1847_10019316	2	0	0
RP-1847_10019481	0	1	1
RP-1847_10019488	1	1	0
RP-1847_10019489	2	0	0
RP-1847_10019491	1	1	0
RP-1847_10019502	1	1	0
RP-1847_10019655	2	0	0
RP-1847_10020508	2	0	0
RP-1847_10020517	0	2	0
RP-1847_10020542	1	1	0
RP-1847_10020548	1	1	0
RP-1847_10020549	0	0	2
RP-1847_10020569	1	1	0
RP-1847_10020604	2	0	0
RP-1847_10020838	2	0	0
RP-1847_10020931	0	2	0
RP-1847_10020943	0	1	1
RP-1847_10020955	2	0	0
RP-1847_10021038	0	1	1
RP-1847_10021240	0	2	0
RP-1847_10021364	0	2	0
RP-1847_10021414	0	2	0
RP-1847_10021466	1	1	0
RP-1847_10021503	0	2	0
RP-1847_10021520	2	0	0
RP-1847_10021639	2	0	0
RP-1847_10021760	0	2	0
RP-1847_10021768	2	0	0
RP-1847_10021772	2	0	0
RP-1847_10021782	2	0	0
RP-1847_10021784	2	0	0
RP-1847_10021785	1	1	0
RP-1847_10021786	2	0	0
RP-1847_10021787	0	2	0
RP-1847_10021790	0	2	0
RP-1847_10021796	0	2	0
RP-1847_10021798	0	2	0
RP-1847_10021802	0	2	0
RP-1847_10021831	2	0	0
RP-1847_10021849	0	2	0
RP-1847_10021895	0	1	0
RP-1847_10021923	0	1	1
RP-1847_10021935	0	0	2
RP-1847_10021952	0	2	0
RP-1847_10021987	0	2	0
RP-1847_10022018	2	0	0
RP-1847_10022120	1	1	0
RP-1847_10022540	2	0	0
RP-1847_10022619	1	1	0
RP-1847_10022631	2	0	0
RP-1847_10022742	0	2	0
RP-1847_10022780	0	2	0
